                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      4.34% |      4.51% |      4.24% |      4.48% |      4.14% |      4.13% |      4.20% |      4.40% |      3.80% |      3.98% |      4.00% |      4.08% |      3.99% |      3.90% |      4.05% |      4.07%
    mpki                             |      22.41 |      23.21 |      21.81 |      23.03 |      21.28 |      21.20 |      21.67 |      22.58 |      19.64 |      20.60 |      20.51 |      20.91 |      20.44 |      20.29 |      20.83 |      20.89
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11472 |      13407 |      12745 |      13521 |      12701 |      12483 |      11499 |      13393 |      10094 |       9977 |      12890 |      13303 |      13143 |       8613 |      12354 |      12994
    num cache misses                 |      10391 |      12454 |      11811 |      12652 |      11782 |      11565 |      10588 |      12535 |       9068 |       9009 |      11957 |      12449 |      12234 |       7638 |      11409 |      12064
    miss rate                        |     90.58% |     92.89% |     92.67% |     93.57% |     92.76% |     92.65% |     92.08% |     93.59% |     89.84% |     90.30% |     92.76% |     93.58% |     93.08% |     88.68% |     92.35% |     92.84%
    mpki                             |      22.45 |      23.25 |      21.85 |      23.08 |      21.33 |      21.25 |      21.73 |      22.62 |      19.68 |      20.64 |      20.54 |      20.95 |      20.47 |      20.35 |      20.87 |      20.93
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11472 |      13407 |      12745 |      13521 |      12701 |      12483 |      11499 |      13393 |      10094 |       9977 |      12890 |      13303 |      13143 |       8613 |      12354 |      12994
    num cache misses                 |       7157 |       8387 |       7911 |       8469 |       7696 |       7561 |       6987 |       8501 |       6221 |       6009 |       8156 |       8423 |       8290 |       5012 |       7673 |       8312
    miss rate                        |     62.39% |     62.56% |     62.07% |     62.64% |     60.59% |     60.57% |     60.76% |     63.47% |     61.63% |     60.23% |     63.27% |     63.32% |     63.08% |     58.19% |     62.11% |     63.97%
    mpki                             |      15.46 |      15.66 |      14.63 |      15.45 |      13.93 |      13.89 |      14.34 |      15.34 |      13.50 |      13.77 |      14.01 |      14.17 |      13.87 |      13.35 |      14.04 |      14.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     173.95 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     120.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          2 |          2 |          3 |          3 |          3 |          2 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4568 |       5225 |       4896 |       5281 |       4835 |       4696 |       4348 |       5305 |       3740 |       3513 |       4909 |       5104 |       5011 |       2820 |       4528 |       4992
