                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12023 |      12020 |      12017 |      12023 |      12027 |      12027 |      12015 |      12024 |      12023 |      12027 |      12018 |      12020 |      12017 |      12023 |      12023 |      12023
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.11 |       0.10 |       0.09 |       0.10 |       0.11 |       0.10 |       0.09 |       0.14 |       0.09 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     108434 |     106684 |     109110 |     108310 |     109212 |      91405 |      97388 |     110531 |     101050 |      89206 |     101489 |     104788 |      71562 |     113041 |     103477 |     104119
    num cache misses                 |      30077 |      25667 |      26408 |      26311 |      26552 |      20044 |      22620 |      27063 |      26148 |      18647 |      23312 |      24389 |      12568 |      26080 |      24320 |      24640
    miss rate                        |     27.74% |     24.06% |     24.20% |     24.29% |     24.31% |     21.93% |     23.23% |     24.48% |     25.88% |     20.90% |     22.97% |     23.27% |     17.56% |     23.07% |     23.50% |     23.67%
    mpki                             |     168.64 |     146.33 |     147.17 |     147.72 |     147.80 |     133.66 |     141.46 |     148.83 |     157.50 |     127.46 |     139.81 |     141.59 |     107.55 |     140.21 |     143.01 |     143.98
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30137 |      25715 |      26471 |      26364 |      26600 |      20106 |      22681 |      27154 |      26217 |      18696 |      23365 |      24465 |      12646 |      26138 |      24387 |      24691
    num cache misses                 |      30093 |      25683 |      26424 |      26327 |      26568 |      20060 |      22636 |      27079 |      26164 |      18663 |      23328 |      24405 |      12584 |      26096 |      24336 |      24656
    miss rate                        |     99.85% |     99.88% |     99.82% |     99.86% |     99.88% |     99.77% |     99.80% |     99.72% |     99.80% |     99.82% |     99.84% |     99.75% |     99.51% |     99.84% |     99.79% |     99.86%
    mpki                             |     168.73 |     146.42 |     147.26 |     147.81 |     147.89 |     133.77 |     141.56 |     148.92 |     157.60 |     127.57 |     139.90 |     141.69 |     107.68 |     140.30 |     143.10 |     144.08
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30137 |      25715 |      26471 |      26364 |      26600 |      20106 |      22681 |      27154 |      26217 |      18696 |      23365 |      24465 |      12646 |      26138 |      24387 |      24691
    num cache misses                 |      12304 |      14209 |      14010 |      14157 |      13997 |      10928 |      12238 |      14520 |      11259 |      11012 |      13362 |      13926 |       7145 |      15524 |      13831 |      13937
    miss rate                        |     40.83% |     55.26% |     52.93% |     53.70% |     52.62% |     54.35% |     53.96% |     53.47% |     42.95% |     58.90% |     57.19% |     56.92% |     56.50% |     59.39% |     56.71% |     56.45%
    mpki                             |      68.99 |      81.01 |      78.08 |      79.48 |      77.91 |      72.87 |      76.53 |      79.85 |      67.82 |      75.27 |      80.14 |      80.85 |      61.14 |      83.46 |      81.33 |      81.44
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         71 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     173.73 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     120.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          4 |          3 |          3 |          2 |          4 |          3 |          2 |          2 |          2 |          3 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9133 |      10324 |      10538 |      10492 |      10613 |       8022 |       8941 |      10495 |       8256 |       7672 |       9538 |      10142 |       5066 |      10298 |      10046 |      10194
